2026-02-23 17:26:17 | INFO | listTask | text: Marketing 
2026-02-23 17:26:17 | INFO | listTask | text: Marketing 
2026-02-23 17:26:17 | INFO | listTask | text: Marketing 
2026-02-23 17:26:17 | INFO | listTask | text: Marketing 
2026-02-23 17:26:18 | INFO | listTask | text: Marketing 
2026-02-23 17:26:18 | INFO | listTask | text: Marketing 
2026-02-23 17:26:18 | INFO | listTask | text: Marketing 
2026-02-23 17:26:18 | INFO | listTask | text: Marketing 
2026-02-23 17:26:18 | INFO | listTask | text: Marketing 
2026-02-23 17:26:19 | INFO | listTask | text: Launch Localisation 
2026-02-23 17:26:19 | INFO | listTask | text: Launch Localisation 
2026-02-23 17:26:19 | INFO | listTask | text: Launch Localisation 
2026-02-23 17:26:19 | INFO | listTask | text: Launch Localisation 
2026-02-23 17:26:19 | INFO | listTask | text: Launch Localisation 
2026-02-23 17:26:19 | INFO | listTask | text: Launch Localisation 
2026-02-23 17:26:20 | INFO | listTask | text: Launch Localisation 
2026-02-23 17:26:20 | INFO | listTask | text: Market Access 
2026-02-23 17:26:20 | INFO | listTask | text: Market Access 
2026-02-23 17:26:20 | INFO | listTask | text: Market Access 
2026-02-23 17:26:20 | INFO | listTask | text: Regulatory Team 
2026-02-23 17:26:21 | INFO | listTask | text: Regulatory Team 
2026-02-23 17:26:21 | INFO | listTask | text: Medical Affairs 
2026-02-23 17:26:21 | INFO | listTask | text: Medical Affairs 
2026-02-23 17:26:21 | INFO | listTask | text: Medical Affairs 
2026-02-23 17:26:21 | INFO | listTask | text: Patient Strategy 
2026-02-23 17:26:21 | INFO | listTask | text: Patient Strategy 
2026-02-23 17:26:22 | INFO | listTask | text: Forecasting 
2026-02-23 17:26:22 | INFO | listTask | text: Forecasting 
2026-02-23 17:26:22 | INFO | listTask | text: Commerical Effectiveness 
2026-02-23 17:26:22 | INFO | listTask | text: Commerical Effectiveness 
2026-02-23 17:26:22 | INFO | listTask | text: Tech Ops 
2026-02-23 17:26:22 | INFO | listTask | text: Tech Ops 
2026-02-23 17:26:23 | INFO | listTask | text: Tech Ops 
2026-02-23 17:26:23 | INFO | listTask | text: Manufacturing 
2026-02-23 17:26:23 | INFO | listTask | text: Manufacturing 
2026-02-23 17:26:23 | INFO | listTask | text: Manufacturing 
2026-02-23 17:26:23 | INFO | listTask | text: Manufacturing 
2026-02-23 17:26:24 | INFO | listTask | text: Manufacturing 
2026-02-23 17:26:24 | INFO | listTask | text: Manufacturing 
2026-02-23 17:26:24 | INFO | listTask | text: Medical Affairs 
2026-02-23 17:26:24 | INFO | listTask | text: Launch Localisation 
2026-02-23 17:26:24 | INFO | listTask | text: Marketing 
2026-02-23 17:26:24 | INFO | listTask | text: Marketing 
